	Mean	Mean	Mean	Std Dev	Std Dev	Std Dev	Mean	Mean	Mean	Std Dev	Std Dev	Std Dev	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 10\Swing Markerless 10.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 6\Swing Markerless 6.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 7\Swing Markerless 7.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d	Z:\KIN 6088\Lannister\Pilot\Data\Julia Olivares\Baseball Hitting Markerless\TheiaFormatData\Swing Markerless 8\Swing Markerless 8.c3d
	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip	Bat_Knob	Bat_Knob	Bat_Knob	Bat_Tip	Bat_Tip	Bat_Tip
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-0.67544	0.02278	1.17742	0.06458	0.00997	0.06592	-0.40504	0.62974	1.69683	0.12800	0.14560	0.09010	-0.67901	0.03756	1.14742	-0.27554	0.53982	1.74111	-0.68705	0.01588	1.14612	-0.33248	0.56157	1.73266	-0.58960	0.01961	1.27618	-0.56397	0.84730	1.56218	-0.74612	0.01808	1.13997	-0.44817	0.57027	1.75140
2	-0.67643	0.02296	1.17723	0.06460	0.00999	0.06568	-0.40512	0.62902	1.69737	0.12815	0.14555	0.08944	-0.67995	0.03779	1.14741	-0.27544	0.53897	1.74131	-0.68805	0.01614	1.14609	-0.33242	0.56089	1.73285	-0.59058	0.01953	1.27563	-0.56414	0.84647	1.56370	-0.74715	0.01837	1.13981	-0.44848	0.56974	1.75163
3	-0.67742	0.02313	1.17705	0.06462	0.01001	0.06544	-0.40519	0.62830	1.69791	0.12830	0.14548	0.08878	-0.68089	0.03803	1.14739	-0.27534	0.53812	1.74150	-0.68904	0.01640	1.14606	-0.33235	0.56023	1.73304	-0.59156	0.01945	1.27508	-0.56430	0.84563	1.56525	-0.74820	0.01867	1.13966	-0.44877	0.56921	1.75185
4	-0.67840	0.02331	1.17687	0.06466	0.01004	0.06520	-0.40526	0.62758	1.69844	0.12844	0.14540	0.08810	-0.68183	0.03826	1.14739	-0.27524	0.53729	1.74168	-0.69001	0.01663	1.14605	-0.33230	0.55958	1.73322	-0.59252	0.01936	1.27453	-0.56447	0.84478	1.56681	-0.74926	0.01897	1.13952	-0.44905	0.56868	1.75207
5	-0.67938	0.02347	1.17669	0.06471	0.01007	0.06495	-0.40533	0.62687	1.69898	0.12858	0.14530	0.08741	-0.68277	0.03849	1.14738	-0.27514	0.53646	1.74185	-0.69096	0.01686	1.14604	-0.33225	0.55895	1.73340	-0.59346	0.01927	1.27397	-0.56463	0.84391	1.56838	-0.75033	0.01928	1.13938	-0.44930	0.56814	1.75228
6	-0.68035	0.02364	1.17652	0.06477	0.01011	0.06470	-0.40540	0.62615	1.69951	0.12872	0.14520	0.08671	-0.68370	0.03872	1.14738	-0.27505	0.53565	1.74201	-0.69189	0.01707	1.14604	-0.33221	0.55834	1.73356	-0.59438	0.01918	1.27342	-0.56480	0.84302	1.56997	-0.75141	0.01958	1.13925	-0.44954	0.56761	1.75249
7	-0.68131	0.02380	1.17636	0.06484	0.01015	0.06445	-0.40546	0.62544	1.70004	0.12885	0.14509	0.08600	-0.68463	0.03894	1.14738	-0.27495	0.53484	1.74217	-0.69281	0.01726	1.14605	-0.33217	0.55774	1.73372	-0.59528	0.01909	1.27287	-0.56498	0.84213	1.57156	-0.75250	0.01989	1.13912	-0.44976	0.56707	1.75269
8	-0.68225	0.02395	1.17619	0.06492	0.01020	0.06419	-0.40553	0.62474	1.70056	0.12899	0.14497	0.08528	-0.68556	0.03916	1.14739	-0.27486	0.53405	1.74231	-0.69371	0.01744	1.14607	-0.33214	0.55715	1.73387	-0.59616	0.01900	1.27232	-0.56515	0.84122	1.57318	-0.75359	0.02020	1.13899	-0.44996	0.56652	1.75289
9	-0.68319	0.02410	1.17604	0.06500	0.01025	0.06394	-0.40560	0.62403	1.70109	0.12912	0.14483	0.08455	-0.68648	0.03937	1.14740	-0.27478	0.53328	1.74245	-0.69459	0.01761	1.14609	-0.33212	0.55658	1.73401	-0.59702	0.01890	1.27177	-0.56534	0.84030	1.57480	-0.75467	0.02050	1.13888	-0.45016	0.56598	1.75308
10	-0.68412	0.02424	1.17588	0.06510	0.01030	0.06368	-0.40567	0.62334	1.70161	0.12925	0.14469	0.08381	-0.68740	0.03958	1.14741	-0.27470	0.53251	1.74258	-0.69546	0.01777	1.14612	-0.33209	0.55603	1.73415	-0.59786	0.01880	1.27122	-0.56553	0.83937	1.57643	-0.75576	0.02080	1.13876	-0.45034	0.56543	1.75327
11	-0.68503	0.02438	1.17573	0.06520	0.01036	0.06342	-0.40574	0.62264	1.70213	0.12938	0.14453	0.08307	-0.68830	0.03978	1.14743	-0.27462	0.53176	1.74270	-0.69631	0.01793	1.14616	-0.33208	0.55548	1.73429	-0.59867	0.01870	1.27068	-0.56573	0.83843	1.57808	-0.75685	0.02109	1.13866	-0.45051	0.56489	1.75345
12	-0.68594	0.02451	1.17558	0.06531	0.01041	0.06315	-0.40581	0.62195	1.70265	0.12951	0.14437	0.08232	-0.68920	0.03998	1.14744	-0.27456	0.53103	1.74281	-0.69716	0.01807	1.14621	-0.33206	0.55495	1.73441	-0.59947	0.01860	1.27013	-0.56593	0.83747	1.57973	-0.75793	0.02138	1.13856	-0.45068	0.56434	1.75364
13	-0.68683	0.02463	1.17544	0.06543	0.01047	0.06289	-0.40588	0.62126	1.70317	0.12964	0.14419	0.08156	-0.69009	0.04016	1.14746	-0.27450	0.53031	1.74292	-0.69798	0.01821	1.14626	-0.33205	0.55444	1.73453	-0.60024	0.01850	1.26959	-0.56615	0.83651	1.58140	-0.75900	0.02167	1.13846	-0.45083	0.56378	1.75382
14	-0.68771	0.02476	1.17530	0.06555	0.01053	0.06263	-0.40596	0.62057	1.70368	0.12977	0.14401	0.08080	-0.69097	0.04035	1.14749	-0.27445	0.52960	1.74302	-0.69880	0.01834	1.14631	-0.33204	0.55393	1.73465	-0.60099	0.01839	1.26905	-0.56637	0.83553	1.58307	-0.76008	0.02195	1.13836	-0.45098	0.56323	1.75400
15	-0.68858	0.02488	1.17516	0.06568	0.01059	0.06236	-0.40604	0.61989	1.70420	0.12989	0.14381	0.08003	-0.69184	0.04052	1.14751	-0.27440	0.52891	1.74311	-0.69961	0.01846	1.14637	-0.33203	0.55344	1.73477	-0.60173	0.01829	1.26850	-0.56659	0.83455	1.58475	-0.76114	0.02223	1.13827	-0.45113	0.56267	1.75418
16	-0.68943	0.02499	1.17503	0.06581	0.01064	0.06210	-0.40612	0.61922	1.70472	0.13001	0.14361	0.07926	-0.69269	0.04069	1.14753	-0.27437	0.52824	1.74320	-0.70040	0.01859	1.14643	-0.33202	0.55295	1.73488	-0.60244	0.01818	1.26796	-0.56682	0.83356	1.58643	-0.76220	0.02251	1.13818	-0.45126	0.56212	1.75436
17	-0.69028	0.02510	1.17489	0.06595	0.01070	0.06183	-0.40621	0.61854	1.70524	0.13013	0.14340	0.07848	-0.69353	0.04084	1.14756	-0.27435	0.52758	1.74329	-0.70119	0.01872	1.14649	-0.33202	0.55248	1.73499	-0.60314	0.01808	1.26743	-0.56706	0.83255	1.58813	-0.76325	0.02278	1.13810	-0.45140	0.56156	1.75454
18	-0.69111	0.02521	1.17476	0.06608	0.01075	0.06157	-0.40630	0.61787	1.70576	0.13025	0.14318	0.07770	-0.69435	0.04099	1.14758	-0.27434	0.52694	1.74338	-0.70196	0.01884	1.14655	-0.33201	0.55201	1.73510	-0.60383	0.01797	1.26689	-0.56729	0.83154	1.58983	-0.76429	0.02305	1.13801	-0.45153	0.56099	1.75472
19	-0.69193	0.02532	1.17462	0.06623	0.01080	0.06131	-0.40639	0.61720	1.70628	0.13037	0.14295	0.07692	-0.69516	0.04113	1.14761	-0.27435	0.52631	1.74346	-0.70273	0.01897	1.14661	-0.33200	0.55154	1.73521	-0.60450	0.01786	1.26635	-0.56754	0.83052	1.59153	-0.76532	0.02332	1.13793	-0.45167	0.56043	1.75490
20	-0.69273	0.02543	1.17449	0.06637	0.01084	0.06104	-0.40648	0.61654	1.70680	0.13048	0.14271	0.07613	-0.69594	0.04126	1.14763	-0.27436	0.52570	1.74354	-0.70349	0.01910	1.14667	-0.33199	0.55109	1.73532	-0.60516	0.01776	1.26582	-0.56778	0.82949	1.59325	-0.76634	0.02358	1.13785	-0.45180	0.55987	1.75509
21	-0.69353	0.02553	1.17436	0.06651	0.01089	0.06078	-0.40658	0.61588	1.70732	0.13059	0.14246	0.07535	-0.69671	0.04138	1.14765	-0.27439	0.52511	1.74362	-0.70424	0.01924	1.14673	-0.33198	0.55063	1.73543	-0.60580	0.01765	1.26528	-0.56803	0.82846	1.59497	-0.76735	0.02384	1.13777	-0.45193	0.55931	1.75527
22	-0.69431	0.02563	1.17422	0.06665	0.01093	0.06052	-0.40669	0.61522	1.70785	0.13069	0.14221	0.07456	-0.69746	0.04149	1.14768	-0.27444	0.52453	1.74370	-0.70499	0.01939	1.14678	-0.33197	0.55018	1.73554	-0.60644	0.01755	1.26475	-0.56828	0.82741	1.59669	-0.76835	0.02410	1.13769	-0.45207	0.55874	1.75546
23	-0.69508	0.02573	1.17409	0.06680	0.01096	0.06025	-0.40679	0.61456	1.70838	0.13080	0.14195	0.07376	-0.69819	0.04159	1.14770	-0.27449	0.52396	1.74378	-0.70573	0.01954	1.14683	-0.33196	0.54974	1.73566	-0.60706	0.01744	1.26421	-0.56852	0.82636	1.59842	-0.76934	0.02436	1.13761	-0.45220	0.55818	1.75565
24	-0.69584	0.02584	1.17395	0.06694	0.01099	0.05999	-0.40690	0.61391	1.70891	0.13089	0.14168	0.07297	-0.69890	0.04169	1.14772	-0.27456	0.52341	1.74387	-0.70647	0.01970	1.14688	-0.33194	0.54929	1.73577	-0.60768	0.01734	1.26367	-0.56877	0.82530	1.60016	-0.77032	0.02461	1.13753	-0.45234	0.55762	1.75585
25	-0.69659	0.02594	1.17381	0.06708	0.01102	0.05973	-0.40702	0.61325	1.70945	0.13099	0.14140	0.07217	-0.69959	0.04177	1.14773	-0.27464	0.52288	1.74396	-0.70720	0.01987	1.14693	-0.33192	0.54885	1.73589	-0.60829	0.01724	1.26313	-0.56902	0.82423	1.60190	-0.77128	0.02486	1.13745	-0.45249	0.55707	1.75604
26	-0.69732	0.02604	1.17367	0.06721	0.01105	0.05947	-0.40713	0.61260	1.70999	0.13108	0.14112	0.07138	-0.70026	0.04186	1.14775	-0.27473	0.52235	1.74405	-0.70792	0.02005	1.14697	-0.33190	0.54841	1.73601	-0.60889	0.01715	1.26259	-0.56926	0.82315	1.60365	-0.77223	0.02511	1.13738	-0.45263	0.55651	1.75624
27	-0.69805	0.02615	1.17353	0.06734	0.01107	0.05921	-0.40725	0.61196	1.71053	0.13117	0.14082	0.07058	-0.70091	0.04194	1.14776	-0.27484	0.52184	1.74414	-0.70864	0.02024	1.14700	-0.33187	0.54796	1.73614	-0.60949	0.01705	1.26205	-0.56951	0.82206	1.60541	-0.77316	0.02535	1.13730	-0.45278	0.55597	1.75644
28	-0.69877	0.02625	1.17338	0.06747	0.01109	0.05895	-0.40737	0.61131	1.71108	0.13125	0.14052	0.06978	-0.70155	0.04201	1.14777	-0.27495	0.52133	1.74425	-0.70936	0.02045	1.14703	-0.33184	0.54752	1.73627	-0.61008	0.01696	1.26151	-0.56974	0.82096	1.60717	-0.77408	0.02559	1.13723	-0.45294	0.55542	1.75664
29	-0.69947	0.02636	1.17323	0.06760	0.01110	0.05868	-0.40749	0.61067	1.71163	0.13133	0.14022	0.06897	-0.70216	0.04208	1.14777	-0.27507	0.52084	1.74435	-0.71007	0.02066	1.14705	-0.33181	0.54708	1.73640	-0.61067	0.01688	1.26096	-0.56998	0.81986	1.60895	-0.77498	0.02583	1.13715	-0.45309	0.55489	1.75684
30	-0.70016	0.02647	1.17308	0.06771	0.01112	0.05842	-0.40761	0.61002	1.71219	0.13141	0.13990	0.06817	-0.70276	0.04215	1.14777	-0.27520	0.52035	1.74447	-0.71077	0.02088	1.14707	-0.33178	0.54664	1.73654	-0.61125	0.01680	1.26040	-0.57021	0.81874	1.61072	-0.77587	0.02607	1.13708	-0.45325	0.55436	1.75704
31	-0.70085	0.02659	1.17293	0.06783	0.01113	0.05816	-0.40773	0.60938	1.71275	0.13148	0.13958	0.06736	-0.70334	0.04222	1.14777	-0.27534	0.51988	1.74459	-0.71147	0.02112	1.14708	-0.33174	0.54619	1.73668	-0.61184	0.01672	1.25985	-0.57044	0.81762	1.61251	-0.77675	0.02630	1.13701	-0.45341	0.55384	1.75724
32	-0.70152	0.02671	1.17277	0.06794	0.01114	0.05789	-0.40785	0.60874	1.71332	0.13155	0.13926	0.06655	-0.70390	0.04229	1.14777	-0.27549	0.51940	1.74472	-0.71217	0.02136	1.14709	-0.33170	0.54575	1.73682	-0.61242	0.01665	1.25928	-0.57066	0.81648	1.61431	-0.77761	0.02653	1.13693	-0.45357	0.55332	1.75743
33	-0.70219	0.02683	1.17260	0.06805	0.01116	0.05762	-0.40797	0.60810	1.71389	0.13161	0.13892	0.06574	-0.70445	0.04235	1.14776	-0.27564	0.51894	1.74485	-0.71286	0.02161	1.14708	-0.33166	0.54530	1.73697	-0.61300	0.01658	1.25872	-0.57087	0.81534	1.61611	-0.77846	0.02676	1.13686	-0.45373	0.55281	1.75762
34	-0.70285	0.02695	1.17244	0.06815	0.01117	0.05736	-0.40809	0.60746	1.71446	0.13167	0.13858	0.06493	-0.70498	0.04242	1.14775	-0.27580	0.51847	1.74499	-0.71354	0.02188	1.14707	-0.33162	0.54485	1.73712	-0.61358	0.01652	1.25814	-0.57108	0.81419	1.61792	-0.77929	0.02699	1.13679	-0.45388	0.55231	1.75781
35	-0.70350	0.02708	1.17227	0.06824	0.01118	0.05709	-0.40821	0.60682	1.71504	0.13172	0.13824	0.06411	-0.70550	0.04250	1.14773	-0.27596	0.51801	1.74515	-0.71421	0.02215	1.14706	-0.33158	0.54441	1.73728	-0.61416	0.01646	1.25756	-0.57128	0.81302	1.61974	-0.78012	0.02722	1.13672	-0.45404	0.55182	1.75800
36	-0.70414	0.02721	1.17209	0.06833	0.01119	0.05682	-0.40833	0.60617	1.71562	0.13177	0.13788	0.06329	-0.70601	0.04257	1.14771	-0.27613	0.51756	1.74530	-0.71487	0.02243	1.14704	-0.33154	0.54396	1.73744	-0.61474	0.01641	1.25698	-0.57147	0.81185	1.62156	-0.78094	0.02745	1.13665	-0.45418	0.55133	1.75819
37	-0.70478	0.02735	1.17191	0.06842	0.01120	0.05654	-0.40844	0.60553	1.71621	0.13181	0.13752	0.06247	-0.70650	0.04265	1.14768	-0.27629	0.51710	1.74547	-0.71552	0.02271	1.14701	-0.33150	0.54351	1.73761	-0.61533	0.01636	1.25639	-0.57165	0.81067	1.62339	-0.78175	0.02769	1.13658	-0.45433	0.55084	1.75837
38	-0.70541	0.02750	1.17173	0.06851	0.01122	0.05627	-0.40855	0.60489	1.71680	0.13185	0.13716	0.06164	-0.70699	0.04274	1.14766	-0.27646	0.51664	1.74564	-0.71616	0.02300	1.14697	-0.33146	0.54307	1.73778	-0.61591	0.01632	1.25579	-0.57182	0.80947	1.62524	-0.78256	0.02793	1.13650	-0.45446	0.55036	1.75855
39	-0.70603	0.02765	1.17154	0.06859	0.01124	0.05599	-0.40865	0.60424	1.71740	0.13188	0.13679	0.06082	-0.70746	0.04283	1.14763	-0.27663	0.51619	1.74583	-0.71680	0.02329	1.14693	-0.33142	0.54263	1.73795	-0.61650	0.01629	1.25518	-0.57198	0.80827	1.62708	-0.78337	0.02817	1.13643	-0.45458	0.54988	1.75872
40	-0.70665	0.02780	1.17135	0.06867	0.01125	0.05572	-0.40875	0.60359	1.71799	0.13191	0.13641	0.05999	-0.70793	0.04292	1.14759	-0.27680	0.51573	1.74602	-0.71741	0.02359	1.14689	-0.33139	0.54219	1.73813	-0.61710	0.01626	1.25457	-0.57213	0.80706	1.62894	-0.78418	0.02843	1.13636	-0.45469	0.54940	1.75890
41	-0.70727	0.02796	1.17116	0.06875	0.01128	0.05544	-0.40885	0.60294	1.71860	0.13192	0.13603	0.05916	-0.70839	0.04303	1.14756	-0.27697	0.51527	1.74621	-0.71802	0.02388	1.14684	-0.33136	0.54175	1.73831	-0.61769	0.01624	1.25395	-0.57226	0.80583	1.63079	-0.78498	0.02869	1.13629	-0.45479	0.54891	1.75907
42	-0.70789	0.02813	1.17096	0.06883	0.01130	0.05516	-0.40893	0.60229	1.71920	0.13193	0.13565	0.05833	-0.70884	0.04314	1.14752	-0.27714	0.51481	1.74642	-0.71861	0.02418	1.14679	-0.33133	0.54132	1.73848	-0.61830	0.01623	1.25333	-0.57238	0.80460	1.63266	-0.78580	0.02896	1.13621	-0.45487	0.54842	1.75924
43	-0.70850	0.02830	1.17076	0.06891	0.01133	0.05488	-0.40901	0.60163	1.71981	0.13193	0.13526	0.05750	-0.70929	0.04325	1.14747	-0.27730	0.51435	1.74663	-0.71920	0.02448	1.14673	-0.33131	0.54089	1.73867	-0.61891	0.01622	1.25271	-0.57249	0.80336	1.63452	-0.78662	0.02924	1.13614	-0.45493	0.54793	1.75941
44	-0.70912	0.02848	1.17056	0.06899	0.01136	0.05459	-0.40908	0.60097	1.72041	0.13192	0.13487	0.05666	-0.70973	0.04338	1.14743	-0.27747	0.51388	1.74685	-0.71977	0.02477	1.14668	-0.33129	0.54047	1.73885	-0.61952	0.01621	1.25208	-0.57258	0.80211	1.63639	-0.78746	0.02954	1.13606	-0.45497	0.54743	1.75957
45	-0.70974	0.02866	1.17036	0.06907	0.01140	0.05431	-0.40914	0.60031	1.72102	0.13191	0.13447	0.05583	-0.71018	0.04351	1.14738	-0.27762	0.51340	1.74707	-0.72032	0.02507	1.14662	-0.33127	0.54005	1.73903	-0.62014	0.01621	1.25145	-0.57265	0.80085	1.63825	-0.78830	0.02986	1.13598	-0.45500	0.54693	1.75974
46	-0.71036	0.02886	1.17015	0.06915	0.01144	0.05403	-0.40918	0.59964	1.72163	0.13188	0.13408	0.05501	-0.71062	0.04365	1.14733	-0.27778	0.51293	1.74730	-0.72087	0.02536	1.14655	-0.33125	0.53964	1.73921	-0.62078	0.01622	1.25081	-0.57271	0.79958	1.64012	-0.78916	0.03019	1.13590	-0.45499	0.54641	1.75990
47	-0.71098	0.02905	1.16994	0.06924	0.01149	0.05374	-0.40922	0.59896	1.72225	0.13185	0.13368	0.05418	-0.71106	0.04380	1.14728	-0.27793	0.51244	1.74753	-0.72140	0.02565	1.14649	-0.33124	0.53923	1.73940	-0.62142	0.01623	1.25017	-0.57274	0.79830	1.64199	-0.79004	0.03054	1.13583	-0.45497	0.54588	1.76006
48	-0.71160	0.02926	1.16974	0.06932	0.01154	0.05346	-0.40924	0.59828	1.72286	0.13180	0.13328	0.05335	-0.71150	0.04396	1.14723	-0.27807	0.51195	1.74777	-0.72192	0.02593	1.14643	-0.33122	0.53882	1.73958	-0.62207	0.01625	1.24953	-0.57276	0.79702	1.64385	-0.79094	0.03091	1.13575	-0.45492	0.54534	1.76022
49	-0.71224	0.02948	1.16953	0.06941	0.01159	0.05317	-0.40925	0.59760	1.72347	0.13175	0.13287	0.05252	-0.71194	0.04413	1.14718	-0.27821	0.51146	1.74802	-0.72243	0.02621	1.14637	-0.33121	0.53842	1.73976	-0.62273	0.01627	1.24889	-0.57275	0.79572	1.64572	-0.79185	0.03130	1.13567	-0.45484	0.54479	1.76038
50	-0.71287	0.02970	1.16932	0.06951	0.01165	0.05288	-0.40925	0.59691	1.72409	0.13168	0.13247	0.05170	-0.71238	0.04430	1.14713	-0.27834	0.51096	1.74826	-0.72293	0.02649	1.14631	-0.33120	0.53802	1.73995	-0.62340	0.01629	1.24824	-0.57272	0.79442	1.64759	-0.79279	0.03171	1.13559	-0.45473	0.54422	1.76054
51	-0.71352	0.02993	1.16911	0.06961	0.01172	0.05259	-0.40923	0.59621	1.72470	0.13160	0.13206	0.05087	-0.71282	0.04449	1.14707	-0.27846	0.51045	1.74852	-0.72342	0.02677	1.14625	-0.33118	0.53763	1.74013	-0.62408	0.01632	1.24759	-0.57266	0.79311	1.64945	-0.79376	0.03214	1.13551	-0.45459	0.54364	1.76070
52	-0.71417	0.03017	1.16889	0.06971	0.01179	0.05230	-0.40919	0.59550	1.72531	0.13152	0.13165	0.05005	-0.71327	0.04468	1.14702	-0.27858	0.50994	1.74877	-0.72390	0.02704	1.14619	-0.33116	0.53724	1.74031	-0.62477	0.01636	1.24694	-0.57258	0.79178	1.65131	-0.79474	0.03260	1.13543	-0.45443	0.54304	1.76086
53	-0.71483	0.03042	1.16868	0.06982	0.01187	0.05200	-0.40914	0.59479	1.72593	0.13142	0.13124	0.04923	-0.71372	0.04488	1.14697	-0.27869	0.50942	1.74903	-0.72437	0.02731	1.14613	-0.33114	0.53685	1.74049	-0.62548	0.01640	1.24628	-0.57248	0.79045	1.65318	-0.79576	0.03308	1.13535	-0.45423	0.54242	1.76101
54	-0.71550	0.03067	1.16847	0.06993	0.01195	0.05171	-0.40907	0.59407	1.72654	0.13131	0.13082	0.04841	-0.71417	0.04509	1.14692	-0.27879	0.50890	1.74929	-0.72483	0.02758	1.14607	-0.33112	0.53647	1.74067	-0.62621	0.01644	1.24563	-0.57234	0.78910	1.65503	-0.79679	0.03358	1.13528	-0.45401	0.54180	1.76117
55	-0.71618	0.03093	1.16827	0.07004	0.01204	0.05141	-0.40898	0.59334	1.72715	0.13119	0.13041	0.04759	-0.71463	0.04531	1.14687	-0.27888	0.50836	1.74955	-0.72529	0.02784	1.14602	-0.33109	0.53608	1.74085	-0.62694	0.01648	1.24497	-0.57218	0.78775	1.65689	-0.79785	0.03410	1.13520	-0.45376	0.54115	1.76132
56	-0.71687	0.03120	1.16806	0.07016	0.01214	0.05111	-0.40887	0.59260	1.72777	0.13105	0.12999	0.04677	-0.71510	0.04553	1.14682	-0.27897	0.50782	1.74982	-0.72574	0.02810	1.14597	-0.33106	0.53570	1.74103	-0.62770	0.01654	1.24430	-0.57199	0.78638	1.65874	-0.79893	0.03464	1.13513	-0.45348	0.54049	1.76148
57	-0.71756	0.03148	1.16785	0.07028	0.01224	0.05081	-0.40875	0.59186	1.72838	0.13091	0.12957	0.04596	-0.71557	0.04577	1.14678	-0.27904	0.50728	1.75008	-0.72618	0.02836	1.14592	-0.33102	0.53532	1.74121	-0.62847	0.01659	1.24364	-0.57176	0.78500	1.66059	-0.80003	0.03520	1.13506	-0.45318	0.53982	1.76163
